year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia
1790,,,,,,,237946,59096,
1800,,,,,,,251002,64273,8144
1810,,,,1062,,,262042,72674,15471
1820,,,,14273,,,275202,72749,23336
1830,,,,30388,,,297675,76748,30261
1840,,,,97574,,,309978,78085,33745
1850,,,,209897,92597,,370792,91532,51687
1860,,,,435450,379994,34277,460147,112216,75080
1870,,,9658,484471,560247,39864,537454,125015,131700
1880,,33426,40440,802525,864694,194327,622700,146608,177624
1890,,32052,88243,1128211,1213398,413249,746258,168493,230392
1900,1830000,,124000,1314000,1490000,543000,910000,185000,278000
1901,1907000,,131000,1341000,1550000,581000,931000,187000,285000
1902,1935000,,138000,1360000,1623000,621000,952000,188000,290000
1903,1957000,,144000,1384000,1702000,652000,972000,190000,295000
1904,1978000,,151000,1419000,1792000,659000,987000,192000,302000
1905,2012000,,158000,1447000,1893000,680000,1010000,194000,308000
1906,2045000,,167000,1465000,1976000,707000,1033000,196000,313000
1907,2058000,,176000,1484000,2054000,733000,1057000,197000,317000
1908,2070000,,186000,1513000,2161000,757000,1077000,199000,321000
1909,2108000,,196000,1545000,2282000,775000,1097000,201000,327000
1910,2150000,,206000,1583000,2406000,804000,1122000,203000,334000
1911,2185000,,212000,1610000,2534000,821000,1149000,207000,344000
1912,2217000,,217000,1636000,2668000,832000,1176000,209000,340000
1913,2279000,,236000,1664000,2811000,835000,1208000,213000,358000
1914,2336000,,253000,1688000,2934000,846000,1233000,216000,368000
1915,2345000,,263000,1702000,3008000,868000,1258000,217000,361000
1916,2359000,,282000,1719000,3071000,892000,1294000,219000,360000
1917,2361000,,311000,1737000,3171000,910000,1327000,222000,385000
1918,2343000,,320000,1749000,3262000,906000,1329000,220000,418000
1919,2337000,,329000,1742000,3339000,938000,1359000,221000,445000
1920,2359000,,340000,1756000,3554000,937000,1391000,219000,440000
1921,2402000,,351000,1769000,3795000,961000,1415000,216000,446000
1922,2434000,,360000,1772000,3991000,965000,1431000,214000,450000
1923,2464000,,371000,1784000,4270000,984000,1455000,215000,453000
1924,2501000,,382000,1800000,4541000,1014000,1481000,219000,456000
1925,2534000,,393000,1812000,4730000,1019000,1506000,222000,461000
1926,2567000,,403000,1826000,4929000,1016000,1531000,225000,469000
1927,2609000,,414000,1840000,5147000,1028000,1557000,229000,476000
1928,2640000,,422000,1847000,5344000,1014000,1577000,233000,479000
1929,2644000,,430000,1852000,5531000,1008000,1594000,236000,483000
1930,2647000,,434000,1859000,5711000,1040000,1613000,239000,488000
1931,2649000,,429000,1848000,5824000,1056000,1628000,242000,504000
1932,2653000,,426000,1836000,5894000,1066000,1637000,245000,513000
1933,2661000,,426000,1854000,5963000,1071000,1642000,248000,529000
1934,2685000,,428000,1878000,6060000,1075000,1650000,250000,568000
1935,2719000,,434000,1890000,6175000,1078000,1666000,252000,608000
1936,2743000,,443000,1892000,6341000,1090000,1672000,253000,629000
1937,2762000,,453000,1903000,6528000,1104000,1678000,254000,616000
1938,2787000,,466000,1928000,6656000,1112000,1684000,257000,638000
1939,2814000,,484000,1948000,6785000,1120000,1696000,263000,658000
1940,2845000,,499000,1955000,6950000,1130000,1708000,269000,690000
1941,2902000,,490000,1969000,7237000,1124000,1746000,275000,764000
1942,2941000,,524000,1977000,7735000,1113000,1792000,279000,851000
1943,2902000,,692000,1843000,8506000,1153000,1792000,282000,900000
1944,2802000,,610000,1768000,8945000,1137000,1778000,285000,881000
1945,2775000,,594000,1762000,9344000,1116000,1769000,286000,876000
1946,2911000,,616000,1797000,9559000,1203000,1906000,299000,899000
1947,2942000,,653000,1836000,9832000,1237000,1967000,305000,888000
1948,2969000,,690000,1825000,10064000,1263000,2014000,312000,840000
1949,3000000,,714000,1844000,10337000,1295000,2032000,316000,807000
1950,3058000,,756000,1908000,10677000,1325000,2016000,321000,806000
1951,3059000,,785000,1901000,11134000,1326000,2028000,331000,808000
1952,3068000,,842000,1838000,11635000,1365000,2081000,341000,805000
1953,3053000,,894000,1780000,12251000,1431000,2168000,351000,810000
1954,3014000,,933000,1734000,12746000,1493000,2249000,368000,791000
1955,3050000,,987000,1725000,13133000,1546000,2300000,389000,785000
1956,3071000,,1053000,1704000,13713000,1625000,2316000,408000,759000
1957,3109000,,1125000,1733000,14264000,1664000,2359000,426000,763000
1958,3163000,,1193000,1726000,14880000,1667000,2446000,433000,757000
1959,3204000,,1261000,1756000,15467000,1710000,2523000,441000,761000
1960,3274000,,1321000,1789000,15870000,1769000,2544000,449000,765000
1961,3316000,,1407000,1806000,16497000,1844000,2586000,461000,778000
1962,3323000,,1471000,1853000,17072000,1899000,2647000,469000,788000
1963,3358000,,1521000,1875000,17668000,1936000,2727000,483000,798000
1964,3395000,,1556000,1897000,18151000,1970000,2798000,497000,798000
1965,3443000,,1584000,1894000,18585000,1985000,2857000,507000,797000
1966,3464000,,1614000,1899000,18858000,2007000,2903000,516000,791000
1967,3458000,,1646000,1901000,19176000,2053000,2935000,525000,791000
1968,3446000,,1682000,1902000,19394000,2120000,2964000,534000,778000
1969,3440000,,1737000,1913000,19711000,2166000,3000000,540000,762000
1970,3444354,,1775399,1923322,19971069,2209596,3032217,548104,756668
1971,3497076,,1895814,1972312,20345939,2303524,3060938,564708,749781
1972,3539400,,2008291,2018638,20585469,2404619,3068699,572913,742241
1973,3579780,,2124438,2059255,20868728,2495868,3067814,577759,731488
1974,3626499,,2223196,2101403,21173865,2541406,3074047,581418,717947
1975,3678814,,2284847,2159526,21537849,2586192,3082500,586589,706871
1976,3735139,,2346157,2170161,21935909,2632306,3083335,590166,692295
1977,3780403,,2425197,2209010,22352396,2696140,3085722,591829,677228
1978,3831836,,2515316,2243127,22835958,2766748,3091627,594776,665052
1979,3866248,,2635571,2271333,23256880,2849234,3095917,594984,650016
1980,3900368,,2737774,2288738,23800800,2908803,3113174,594919,638284
1981,3918531,,2810107,2293201,24285933,2977898,3128836,595975,636893
1982,3925266,,2889861,2294257,24820009,3061564,3139013,599148,634174
1983,3934102,,2968925,2305761,25360026,3133630,3162354,605458,632433
1984,3951820,,3067135,2319768,25844393,3169992,3180014,611565,633382
1985,3972523,,3183538,2327046,26441109,3208723,3201131,618280,634549
1986,3991569,,3308262,2331984,27102237,3237450,3223740,627559,638269
1987,4015264,,3437103,2342355,27777158,3260480,3247291,636947,636930
1988,4023844,,3535183,2342656,28464249,3262281,3271953,647622,630432
1989,4030222,,3622185,2346358,29218164,3275818,3283403,658273,624168
1990,4048508,,3679056,2354343,29950111,3303862,3289056,669063,603814
1991,4091025,,3762394,2370666,30414114,3367567,3288640,680495,593239
1992,4139269,,3867333,2394098,30875920,3459995,3274997,690158,584183
1993,4193113,,3993390,2423743,31147208,3560884,3272325,699475,576358
1994,4232965,,4147560,2450605,31317179,3653910,3268346,708416,564982
1995,4262731,,4306908,2480121,31493525,3738061,3265293,718265,551273
1996,4290403,,4432308,2504858,31780829,3812716,3267030,727090,538273
1997,4320281,,4552207,2524007,32217708,3891293,3268514,735024,528752
1998,4351037,,4667277,2538202,32682794,3968967,3272563,744066,521426
1999,4369862,,4778332,2551373,33145121,4056133,3282031,753538,519000
2000,4452173,,5160586,2678588,33987977,4326921,3411777,786373,572046
2001,4467634,,5273477,2691571,34479458,4425687,3432835,795699,574504
2002,4480089,,5396255,2705927,34871843,4490406,3458749,806169,573158
2003,4503491,,5510364,2724816,35253159,4528732,3484336,818003,568502
2004,4530729,,5652404,2749686,35574576,4575013,3496094,830803,567754
2005,4569805,,5839077,2781097,35827943,4631888,3506956,845150,567136
2006,4628981,,6029141,2821761,36021202,4720423,3517460,859268,570681
2007,4672840,,6167681,2848650,36250311,4803868,3527270,871749,574404
2008,4718206,,6280362,2874554,36604337,4889730,3545579,883874,580236
2009,4757938,,6343154,2896843,36961229,4972195,3561807,891730,592228
2010,4785514,,6407342,2921998,37319550,5047539,3579173,899647,605282
2011,4799642,,6473416,2941038,37636311,5121900,3588632,907590,620290
2012,4816632,,6556344,2952876,37944551,5193660,3595211,915518,635737
2013,4831586,,6634690,2960459,38253768,5270774,3595792,924062,651559
2014,4843737,,6732873,2968759,38586706,5352637,3595697,933131,663603
2015,4854803,,6832810,2979732,38904296,5454328,3588561,942065,677014
2016,4866824,,6944767,2991815,39149186,5543844,3579830,949989,687576
2017,4877989,,7048088,3003855,39337785,5617421,3575324,957942,697079
2018,4891628,,7164228,3012161,39437463,5697155,3574561,966985,704147
2019,4907965,,7291843,3020985,39437610,5758486,3566022,976668,708253
2020,5033094,,7187135,3014546,39521958,5787129,3579918,991928,670917
2021,5049196,,7274078,3026870,39142565,5814036,3606607,1005062,669256
2022,5076181,,7377566,3047704,39142414,5850935,3617925,1020625,676725
2023,5117673,,7473027,3069463,39198693,5901339,3643023,1036423,687324
2024,5157699,,7582384,3088354,39431263,5957493,3675069,1051917,702250
